Volume Fraction,Matrix Material,Fibre Material,Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Type,Composite Yield Strain
0.45,1,2,2662.557781,0.38,2540,75000,0.22,0.3,1,0.02535
0.45,1,3,2662.557781,0.38,1470,150000,0.35,0.1,1,0.02425
0.45,1,3,2662.557781,0.38,1470,150000,0.35,0.2,1,0.02425
0.45,1,3,2662.557781,0.38,1470,150000,0.35,0.3,1,0.02425
0.45,1,4,2662.557781,0.38,2530,85000,0.21,0.1,1,0.0252
0.45,1,4,2662.557781,0.38,2530,85000,0.21,0.2,1,0.02525
0.45,1,4,2662.557781,0.38,2530,85000,0.21,0.3,1,0.025
0.5,1,1,2662.557781,0.38,1770,220000,0.2,0.1,1,0.0213
0.5,1,1,2662.557781,0.38,1770,220000,0.2,0.2,1,0.02135
0.5,1,1,2662.557781,0.38,1770,220000,0.2,0.3,1,0.0211
0.5,1,2,2662.557781,0.38,2540,75000,0.22,0.1,1,0.02335
0.5,1,2,2662.557781,0.38,2540,75000,0.22,0.2,1,0.02315
0.5,1,2,2662.557781,0.38,2540,75000,0.22,0.3,1,0.0235
0.5,1,3,2662.557781,0.38,1470,150000,0.35,0.1,1,0.02175
0.5,1,3,2662.557781,0.38,1470,150000,0.35,0.2,1,0.02175
0.5,1,3,2662.557781,0.38,1470,150000,0.35,0.3,1,0.02165
0.5,1,4,2662.557781,0.38,2530,85000,0.21,0.1,1,0.0229
0.5,1,4,2662.557781,0.38,2530,85000,0.21,0.2,1,0.0229
0.5,1,4,2662.557781,0.38,2530,85000,0.21,0.3,1,0.023
0.05,1,1,2662.557781,0.38,1770,220000,0.2,0.1,2,0.04788
0.05,1,2,2662.557781,0.38,2540,75000,0.22,0.1,2,0.04873
0.05,1,3,2662.557781,0.38,1470,150000,0.35,0.1,2,0.04812
0.05,1,4,2662.557781,0.38,2530,85000,0.21,0.1,2,0.04858
0.1,1,1,2662.557781,0.38,1770,220000,0.2,0.1,2,0.03815
0.1,1,2,2662.557781,0.38,2540,75000,0.22,0.1,2,0.03939
0.1,1,3,2662.557781,0.38,1470,150000,0.35,0.1,2,0.03849
0.1,1,4,2662.557781,0.38,2530,85000,0.21,0.1,2,0.03917
0.15,1,1,2662.557781,0.38,1770,220000,0.2,0.1,2,0.03283
0.15,1,2,2662.557781,0.38,2540,75000,0.22,0.1,2,0.03412
0.15,1,3,2662.557781,0.38,1470,150000,0.35,0.1,2,0.03318
0.15,1,4,2662.557781,0.38,2530,85000,0.21,0.1,2,0.03389
0.2,1,1,2662.557781,0.38,1770,220000,0.2,0.1,2,0.02826
0.2,1,2,2662.557781,0.38,2540,75000,0.22,0.1,2,0.03011
0.2,1,3,2662.557781,0.38,1470,150000,0.35,0.1,2,0.02874
0.2,1,4,2662.557781,0.38,2530,85000,0.21,0.1,2,0.02979
0.25,1,1,2662.557781,0.38,1770,220000,0.2,0.1,2,0.0249
0.25,1,2,2662.557781,0.38,2540,75000,0.22,0.1,2,0.02675
0.25,1,3,2662.557781,0.38,1470,150000,0.35,0.1,2,0.0254
0.25,1,4,2662.557781,0.38,2530,85000,0.21,0.1,2,0.02643
0.3,1,1,2662.557781,0.38,1770,220000,0.2,0.1,2,0.02244
0.3,1,2,2662.557781,0.38,2540,75000,0.22,0.1,2,0.02488
0.3,1,3,2662.557781,0.38,1470,150000,0.35,0.1,2,0.02309
0.3,1,4,2662.557781,0.38,2530,85000,0.21,0.1,2,0.02449
0.35,1,1,2662.557781,0.38,1770,220000,0.2,0.1,2,0.01974
0.35,1,2,2662.557781,0.38,2540,75000,0.22,0.1,2,0.02181
0.35,1,3,2662.557781,0.38,1470,150000,0.35,0.1,2,0.02028
0.35,1,4,2662.557781,0.38,2530,85000,0.21,0.1,2,0.02145
0.4,1,1,2662.557781,0.38,1770,220000,0.2,0.1,2,0.01727
0.4,1,2,2662.557781,0.38,2540,75000,0.22,0.1,2,0.01943
0.4,1,3,2662.557781,0.38,1470,150000,0.35,0.1,2,0.01782
0.4,1,4,2662.557781,0.38,2530,85000,0.21,0.1,2,0.01902
0.45,1,1,2662.557781,0.38,1770,220000,0.2,0.1,2,0.01453
0.45,1,2,2662.557781,0.38,2540,75000,0.22,0.1,2,0.01729
0.45,1,3,2662.557781,0.38,1470,150000,0.35,0.1,2,0.01521
0.45,1,4,2662.557781,0.38,2530,85000,0.21,0.1,2,0.01683
0.5,1,1,2662.557781,0.38,1770,220000,0.2,0.1,2,0.01279
0.5,1,2,2662.557781,0.38,2540,75000,0.22,0.1,2,0.01571
0.5,1,3,2662.557781,0.38,1470,150000,0.35,0.1,2,0.01355
0.5,1,4,2662.557781,0.38,2530,85000,0.21,0.1,2,0.01524
0.05,2,1,2000,0.37,1770,220000,0.2,0.1,1,0.02861
0.05,2,1,2000,0.37,1770,220000,0.2,0.2,1,0.02846
0.05,2,1,2000,0.37,1770,220000,0.2,0.3,1,0.02883
0.05,2,2,2000,0.37,2540,75000,0.22,0.1,1,0.02905
0.05,2,2,2000,0.37,2540,75000,0.22,0.2,1,0.02887
0.05,2,2,2000,0.37,2540,75000,0.22,0.3,1,0.02883
0.05,2,3,2000,0.37,1470,150000,0.35,0.1,1,0.02878
0.05,2,3,2000,0.37,1470,150000,0.35,0.2,1,0.02865
0.05,2,3,2000,0.37,1470,150000,0.35,0.3,1,0.02847
0.05,2,4,2000,0.37,2530,85000,0.21,0.1,1,0.02899
0.05,2,4,2000,0.37,2530,85000,0.21,0.2,1,0.02863
0.05,2,4,2000,0.37,2530,85000,0.21,0.3,1,0.02814
0.1,2,1,2000,0.37,1770,220000,0.2,0.1,1,0.0256
0.1,2,1,2000,0.37,1770,220000,0.2,0.2,1,0.02562
0.1,2,1,2000,0.37,1770,220000,0.2,0.3,1,0.02526
0.1,2,2,2000,0.37,2540,75000,0.22,0.1,1,0.02604
0.1,2,2,2000,0.37,2540,75000,0.22,0.2,1,0.02605
0.1,2,2,2000,0.37,2540,75000,0.22,0.3,1,0.02561
0.1,2,3,2000,0.37,1470,150000,0.35,0.1,1,0.02579
0.1,2,3,2000,0.37,1470,150000,0.35,0.2,1,0.02555
0.1,2,3,2000,0.37,1470,150000,0.35,0.3,1,0.02577
0.1,2,4,2000,0.37,2530,85000,0.21,0.1,1,0.02597
0.1,2,4,2000,0.37,2530,85000,0.21,0.2,1,0.02598
0.1,2,4,2000,0.37,2530,85000,0.21,0.3,1,0.02555
0.15,2,1,2000,0.37,1770,220000,0.2,0.1,1,0.02259
0.15,2,1,2000,0.37,1770,220000,0.2,0.2,1,0.02255
0.15,2,1,2000,0.37,1770,220000,0.2,0.3,1,0.0226
0.15,2,2,2000,0.37,2540,75000,0.22,0.1,1,0.02306
