Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter Size,Mesh Size,Composite Elastic Modulus (MPa)
0.45,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,12.62,6,8933.914051
0.45,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,12.62,6,8933.914051
0.45,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,12.62,6,8933.914706
0.45,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,12.62,6,8208.048456
0.45,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,12.62,6,8208.048456
0.45,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,12.62,6,8208.048456
0.45,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,12.62,6,8698.393395
0.45,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,12.62,6,8698.393395
0.45,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,12.62,6,8698.393177
0.45,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,12.62,6,8331.285627
0.45,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,12.62,6,8331.285627
0.45,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,12.62,6,8331.285845
0.5,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,13.3,6,9974.481551
0.5,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,13.3,6,9974.481551
0.5,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,13.3,6,9974.481333
0.5,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,13.3,6,9010.847416
0.5,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,13.3,6,9010.847416
0.5,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,13.3,6,9010.847853
0.5,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,13.3,6,9680.639099
0.5,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,13.3,6,9680.639099
0.5,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,13.3,6,9680.63888
0.5,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,13.3,6,9170.073027
0.5,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,13.3,6,9170.073027
0.5,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,13.3,6,9170.073245
