Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter Size,Mesh Size,Tensile Strength 
0.35,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,11.13,6,226.1632942
0.35,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,11.13,6,217.6213189
0.35,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,11.13,6,223.5346452
0.35,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,11.13,6,225.7282138
0.35,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,11.13,6,218.281345
0.35,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,11.13,6,223.8896931
0.35,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,11.13,6,226.024856
0.35,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,11.13,6,217.7929445
0.35,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,11.13,6,223.6116369
0.35,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,11.13,6,225.7900012
0.4,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,11.9,6,243.2841023
0.4,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,11.9,6,249.8830008
0.4,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,11.9,6,252.7067111
0.4,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,11.9,6,241.8501747
0.4,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,11.9,6,249.156993
0.4,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,11.9,6,252.0818385
0.4,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,11.9,6,242.82189
0.4,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,11.9,6,249.6405438
0.4,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,11.9,6,252.5142974
0.4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,11.9,6,242.0983202
0.4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,11.9,6,249.2580233
0.4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,11.9,6,252.1724617
0.45,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,12.62,6,266.5012003
0.45,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,12.62,6,273.3994934
0.45,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,12.62,6,277.1730039
0.45,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,12.62,6,265.0751107
0.45,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,12.62,6,272.5154128
0.45,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,12.62,6,276.3614061
0.45,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,12.62,6,266.0444668
0.45,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,12.62,6,273.1096408
0.45,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,12.62,6,276.9247797
0.45,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,12.62,6,265.315156
0.45,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,12.62,6,272.641137
0.45,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,12.62,6,276.4824642
0.5,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,13.3,6,262.4064324
0.5,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,13.3,6,267.8007005
0.5,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,13.3,6,270.769193
0.5,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,13.3,6,261.0350785
0.5,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,13.3,6,267.1016935
