Volume Fraction,Matrix Material,Fibre Material,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Mesh Size, Composite Ultimate Strength (MPa)
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,11.13,1,6,226.0249
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,11.13,1,6,217.7929
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,11.13,1,6,223.6116
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,11.13,1,6,225.7900
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,11.9,1,6,243.2841
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,11.9,1,6,249.8830
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,11.9,1,6,252.7067
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,11.9,1,6,241.8502
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,11.9,1,6,249.1570
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,11.9,1,6,252.0818
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,11.9,1,6,242.8219
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,11.9,1,6,249.6405
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,11.9,1,6,252.5143
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,11.9,1,6,242.0983
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,11.9,1,6,249.2580
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,11.9,1,6,252.1725
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,12.62,1,6,266.5012
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,12.62,1,6,273.3995
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,12.62,1,6,277.1730
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,12.62,1,6,265.0751
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,12.62,1,6,272.5154
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,12.62,1,6,276.3614
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,12.62,1,6,266.0445
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,12.62,1,6,273.1096
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,12.62,1,6,276.9248
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,12.62,1,6,265.3152
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,12.62,1,6,272.6411
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,12.62,1,6,276.4825
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,13.3,1,6,262.4064
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,13.3,1,6,267.8007
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,13.3,1,6,270.7692
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,13.3,1,6,261.0351
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,13.3,1,6,267.1017
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,13.3,1,6,270.2867
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,13.3,1,6,261.2823
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,13.3,1,6,266.8821
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,13.3,1,6,269.9067
0.5,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,13.3,1,6,261.2603
0.5,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,13.3,1,6,267.2242
0.5,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,13.3,1,6,270.3741
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,10.98,2,6,153.6350
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,10.98,2,6,153.5952
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,10.98,2,6,153.6227
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,10.98,2,6,153.6015
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,13.85,2,6,158.1546
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,13.85,2,6,158.0934
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,13.85,2,6,158.1354
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,13.85,2,6,158.1052
0.15,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,15.84,2,6,161.1395
0.15,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,15.84,2,6,161.0866
0.15,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,15.84,2,6,161.1224
0.15,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,15.84,2,6,161.0968
0.2,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,17.44,2,6,172.5027
0.2,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,17.44,2,6,171.9462
0.2,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,17.44,2,6,172.3496
0.2,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,17.44,2,6,172.0292
0.25,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,18.79,2,6,178.7819
0.25,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,18.79,2,6,178.4845
0.25,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,18.79,2,6,178.7005
0.25,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,18.79,2,6,178.5405
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,19.96,2,6,201.3776
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,19.96,2,6,198.9019
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,19.96,2,6,200.7493
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,19.96,2,6,199.2884
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,21.02,2,6,198.7922
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,21.02,2,6,198.1980
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,21.02,2,6,198.6370
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,21.02,2,6,198.3092
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,21.98,2,6,214.4995
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,21.98,2,6,213.6032
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,21.98,2,6,214.2662
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,21.98,2,6,213.7695
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,22.86,2,6,255.3457
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,22.86,2,6,252.0355
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,22.86,2,6,254.5607
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,22.86,2,6,252.6196
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,23.67,2,6,381.1514
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,23.67,2,6,336.4483
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,23.67,2,6,367.4733
0.5,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,23.67,2,6,340.8520
0.05,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,4.21,1,6,66.1947
0.05,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,4.21,1,6,66.3733
0.05,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,4.21,1,6,66.5021
0.05,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,4.21,1,6,66.1034
0.05,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,4.21,1,6,66.3242
0.05,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,4.21,1,6,66.4422
