Volume Fraction,Matrix Material,Fibre Material,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Mesh Size,Composite Yield Strength (Mpa)
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,12.62,1,6,191.9000
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,13.3,1,6,192.1000
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,13.3,1,6,192.8000
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,13.3,1,6,190.0000
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,13.3,1,6,192.0000
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,13.3,1,6,191.1500
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,13.3,1,6,192.5000
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,13.3,1,6,191.5000
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,13.3,1,6,191.7500
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,13.3,1,6,190.1500
0.5,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,13.3,1,6,192.1500
0.5,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,13.3,1,6,191.6000
0.5,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,13.3,1,6,192.5000
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,10.98,2,6,136.7150
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,10.98,2,6,138.3350
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,10.98,2,6,137.1600
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,10.98,2,6,138.0500
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,13.85,2,6,122.3250
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,13.85,2,6,124.8050
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,13.85,2,6,123.0000
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,13.85,2,6,124.3800
0.15,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,15.84,2,6,117.3330
0.15,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,15.84,2,6,119.8250
0.15,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,15.84,2,6,117.9900
0.15,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,15.84,2,6,119.3900
0.2,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,17.44,2,6,121.8250
0.2,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,17.44,2,6,124.1000
0.2,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,17.44,2,6,122.3000
0.2,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,17.44,2,6,123.6400
0.25,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,18.79,2,6,119.3600
0.25,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,18.79,2,6,122.9000
0.25,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,18.79,2,6,120.2660
0.25,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,18.79,2,6,122.3130
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,19.96,2,6,131.4600
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,19.96,2,6,134.5920
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,19.96,2,6,132.3000
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,19.96,2,6,134.1500
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,21.02,2,6,126.5660
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,21.02,2,6,130.5800
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,21.02,2,6,127.5300
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,21.02,2,6,129.9600
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,21.98,2,6,130.5850
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,21.98,2,6,134.9350
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,21.98,2,6,131.5650
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,21.98,2,6,133.9950
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,22.86,2,6,139.6000
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,22.86,2,6,145.7500
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,22.86,2,6,141.0000
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,22.86,2,6,144.9200
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,23.67,2,6,165.5920
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,23.67,2,6,165.6600
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,23.67,2,6,165.0750
0.5,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,23.67,2,6,165.4600
0.05,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,4.21,1,6,63.0100
0.05,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,4.21,1,6,62.6550
0.05,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,4.21,1,6,62.1550
0.05,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,4.21,1,6,62.4450
0.05,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,4.21,1,6,62.1910
