Volume Fraction,Matrix Material,Fibre Material,Matrix Density,Matrix Elastic Modulus,Matrix Poisson's Ratio,Matrix Yield Strength,Fibre Density,Fibre Elastic Modulus,Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Composite Elastic Modulus
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,11.13,1,6163.6221
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,11.13,1,6163.6221
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,11.13,1,6163.6224
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,11.13,1,6405.296
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,11.13,1,6405.296
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,11.13,1,6405.296
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,11.13,1,6226.8847
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,11.13,1,6226.8847
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,11.13,1,6226.8847
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,11.9,1,7545.7567
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,11.9,1,7545.7567
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,11.9,1,7545.7565
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,11.9,1,7044.9463
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,11.9,1,7044.9463
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,11.9,1,7044.9465
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,11.9,1,7380.5627
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,11.9,1,7380.5627
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,11.9,1,7380.563
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,11.9,1,7131.4171
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,11.9,1,7131.4171
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,11.9,1,7131.4169
