Volume Fraction,Matrix Density ,Matrix Elastic Modulus,Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Matrix Hardening Parameter,Temperature ,Fiber Density,Fiber Elastic Modulus 1,Fiber Elastic Modulus 2,Fiber Elastic Modulus 3,Fiber Poisson 1,Fiber Poisson 2,Fiber Poisson 3,Fiber Shear 1,Fiber Shear 2,Fiber Shear 3,Composite Toughness
0.05,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.525328666
0.06,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.428746526
0.07,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.35417946
0.08,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.330713018
0.09,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.284162584
0.1,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.19879568
0.11,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.108205608
0.12,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.09607083
0.13,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.993358906
0.14,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.950195356
0.15,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.873552182
0.16,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.83221539
0.17,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.673361374
0.18,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.706982244
0.19,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.591975966
0.2,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.551352288
0.21,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.520237328
0.22,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.453063222
0.23,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.420295308
0.24,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.266475156
0.25,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.287486538
